sample,behavior_model,feature_group,feature_set,space,n,n_features,effective_features,neural_distance,rsa_spearman,p_perm_two_sided,n_perm,pair_count,mean_within_neural_distance,mean_between_neural_distance,between_minus_within,roi,window
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,dlPFC 25-75%,standardized,210,1,1,euclidean,0.1109643056988716,0.0099009900990099,100,21945,1.043672223182676,1.236224634101755,0.192552410919079,cortical_dlPFC,pct25_75
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,dlPFC 50-100%,standardized,398,1,1,euclidean,0.0129323881119489,0.4257425742574257,100,79003,,,,cortical_dlPFC,pct50_100
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,dlPFC 50-100%,standardized,210,1,1,euclidean,0.0428234040737152,0.0099009900990099,100,21945,1.100003812139665,1.1818039376078946,0.0818001254682296,cortical_dlPFC,pct50_100
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,dlPFC Last 5s,standardized,398,1,1,euclidean,0.0356580317020416,0.0297029702970297,100,79003,,,,cortical_dlPFC,last5
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,dlPFC Last 5s,standardized,210,1,1,euclidean,0.0513380691409111,0.0099009900990099,100,21945,1.100768136643763,1.194732601052938,0.093964464409175,cortical_dlPFC,last5
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,dlPFC Temporal SD,standardized,398,1,1,euclidean,0.0015149473911151,0.9405940594059404,100,79003,,,,cortical_dlPFC,std
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,dlPFC Temporal SD,standardized,210,1,1,euclidean,0.0206105336546897,0.0099009900990099,100,21945,1.0710740916577368,1.1144377675031023,0.0433636758453657,cortical_dlPFC,std
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,dlPFC Peak 10s,standardized,398,1,1,euclidean,0.0741184800863266,0.0099009900990099,100,79003,,,,cortical_dlPFC,rolling_peak_10s
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,dlPFC Peak 10s,standardized,210,1,1,euclidean,0.1389361768960952,0.0099009900990099,100,21945,1.0201570856846358,1.2642215726467827,0.2440644869621469,cortical_dlPFC,rolling_peak_10s
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,dlPFC Abs peak 10s,standardized,398,1,1,euclidean,0.0714216381311416,0.0099009900990099,100,79003,,,,cortical_dlPFC,rolling_abs_peak_10s
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,dlPFC Abs peak 10s,standardized,210,1,1,euclidean,0.1375675946474075,0.0099009900990099,100,21945,1.0223514453787474,1.2601081353684525,0.237756689989705,cortical_dlPFC,rolling_abs_peak_10s
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,Amygdala Whole,standardized,398,1,1,euclidean,-0.003741480410099,0.8217821782178217,100,79003,,,,subcortical_amygdala,whole
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,Amygdala Whole,standardized,210,1,1,euclidean,0.0199477653950452,0.0099009900990099,100,21945,1.0982879873641893,1.1344876374150914,0.036199650050902,subcortical_amygdala,whole
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,Amygdala 25-75%,standardized,398,1,1,euclidean,0.0121432663872838,0.3861386138613861,100,79003,,,,subcortical_amygdala,pct25_75
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,Amygdala 25-75%,standardized,210,1,1,euclidean,0.0278417114168405,0.0099009900990099,100,21945,1.1003863703301726,1.151850702816153,0.0514643324859807,subcortical_amygdala,pct25_75
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,Amygdala 50-100%,standardized,398,1,1,euclidean,-0.0151876891031861,0.495049504950495,100,79003,,,,subcortical_amygdala,pct50_100
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,Amygdala 50-100%,standardized,210,1,1,euclidean,-0.0041673867963254,0.3861386138613861,100,21945,1.0788082007137252,1.0715809222908408,-0.0072272784228843,subcortical_amygdala,pct50_100
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,Amygdala Last 5s,standardized,398,1,1,euclidean,-0.0220397878438234,0.2376237623762376,100,79003,,,,subcortical_amygdala,last5
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,Amygdala Last 5s,standardized,210,1,1,euclidean,0.009798839688301,0.0693069306930693,100,21945,0.9526253506278608,0.978119051693561,0.0254937010657001,subcortical_amygdala,last5
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,Amygdala Temporal SD,standardized,398,1,1,euclidean,0.0122234551236033,0.4158415841584158,100,79003,,,,subcortical_amygdala,std
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,Amygdala Temporal SD,standardized,210,1,1,euclidean,0.0209299549460411,0.0198019801980198,100,21945,1.1203374385339795,1.143987434086351,0.0236499955523712,subcortical_amygdala,std
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,Amygdala Peak 10s,standardized,398,1,1,euclidean,0.0305832382291555,0.0495049504950495,100,79003,,,,subcortical_amygdala,rolling_peak_10s
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,Amygdala Peak 10s,standardized,210,1,1,euclidean,0.0069341859780251,0.1188118811881188,100,21945,1.1336335097488863,1.1411308382591712,0.0074973285102846,subcortical_amygdala,rolling_peak_10s
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,Amygdala Abs peak 10s,standardized,398,1,1,euclidean,-0.0045700729824602,0.8217821782178217,100,79003,,,,subcortical_amygdala,rolling_abs_peak_10s
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,Amygdala Abs peak 10s,standardized,210,1,1,euclidean,0.0190368238836526,0.0198019801980198,100,21945,1.0509393515379504,1.0737682791556102,0.0228289276176598,subcortical_amygdala,rolling_abs_peak_10s
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,vmPFC Whole,standardized,398,1,1,euclidean,0.0118896029889583,0.3267326732673267,100,79003,,,,cortical_vmPFC_proxy,whole
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,vmPFC Whole,standardized,210,1,1,euclidean,0.0602350570261478,0.0099009900990099,100,21945,1.084899443605808,1.1842697474042156,0.0993703037984077,cortical_vmPFC_proxy,whole
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,vmPFC 25-75%,standardized,398,1,1,euclidean,0.0048651038669049,0.7128712871287128,100,79003,,,,cortical_vmPFC_proxy,pct25_75
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,vmPFC 25-75%,standardized,210,1,1,euclidean,0.0293140597641468,0.0099009900990099,100,21945,1.0930676152761658,1.150871158163141,0.0578035428869752,cortical_vmPFC_proxy,pct25_75
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,vmPFC 50-100%,standardized,398,1,1,euclidean,-0.0160784963518381,0.2178217821782178,100,79003,,,,cortical_vmPFC_proxy,pct50_100
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,vmPFC 50-100%,standardized,210,1,1,euclidean,0.0130153130739927,0.0594059405940594,100,21945,1.1079208644913654,1.1356092593856284,0.027688394894263,cortical_vmPFC_proxy,pct50_100
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,vmPFC Last 5s,standardized,398,1,1,euclidean,-0.0021173255518078,0.8712871287128713,100,79003,,,,cortical_vmPFC_proxy,last5
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,vmPFC Last 5s,standardized,210,1,1,euclidean,0.0333776138722896,0.0198019801980198,100,21945,1.078777151727959,1.1508638488337026,0.0720866971057436,cortical_vmPFC_proxy,last5
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,vmPFC Temporal SD,standardized,398,1,1,euclidean,0.0090204514563083,0.5445544554455446,100,79003,,,,cortical_vmPFC_proxy,std
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,vmPFC Temporal SD,standardized,210,1,1,euclidean,0.0347595736384391,0.0099009900990099,100,21945,1.0555904960513909,1.1272461591378016,0.0716556630864106,cortical_vmPFC_proxy,std
